0
Feiertag
Semesterferien
Ferien
Lockdown
Verkehr_vor_einer_Woche
Verkehrs_Differenz
Neutor_FR_stadtauswärts_vor_einer_Woche
Neutor_FR_stadteinwärts_vor_einer_Woche
Neutor_FR_stadtauswärts_Differenz
Neutor_FR_stadteinwärts_Differenz
Top4_letzte_Woche
Berufsverkehr
Stunde
Minute
Jahr
Monat
Tag
Wochentag_Dienstag
Wochentag_Donnerstag
Wochentag_Freitag
Wochentag_Mittwoch
Wochentag_Montag
Wochentag_Samstag
Wochentag_Sonntag
Jahreszeit_Frühling
Jahreszeit_Herbst
Jahreszeit_Sommer
Jahreszeit_Winter
