Model,MAE,RMSE,SMAPE
PROPHET,235.89969959594058,289.9061232160912,104.41477344456607
XGBOOST,2.89593214324758,4.3861393157302855,1.964083122106631
RANDOM FOREST,2.269265071551504,4.603000955225183,1.3724165844027294
LSTM,39.37581342170886,51.67509601503181,34.4051449996404
GRU,47.13559167721519,56.31157494513733,35.5100102868953
